key,area,city_osm,source
"37.4706,15.0729",,,unknown
"37.4709,15.0720",,,unknown
"37.4723,15.0746",,,unknown
"37.4726,15.0748",,,unknown
"37.4812,15.0563",,,unknown
"37.4816,15.0733",,,unknown
"37.4862,15.0845",,,unknown
"37.4926,15.0842",,,unknown
"37.4936,15.0761",,,unknown
"37.4945,15.0538",,,unknown
"37.4977,15.0834",,,unknown
"37.4985,15.0803",,,unknown
"37.4985,15.0840",,,unknown
"37.4990,15.0858",,,unknown
"37.4995,15.0850",,,unknown
"37.4997,15.0743",,,unknown
"37.4998,15.0871",,,unknown
"37.4999,15.0763",,,unknown
"37.5003,15.0944",,,unknown
"37.5005,15.0838",,,unknown
"37.5006,15.0835",,,unknown
"37.5009,15.0713",,,unknown
"37.5010,15.0812",,,unknown
"37.5010,15.0848",,,unknown
"37.5013,15.0932",,,unknown
"37.5013,15.0953",,,unknown
"37.5015,15.0752",,,unknown
"37.5015,15.0842",,,unknown
"37.5016,15.0932",,,unknown
"37.5018,15.0699",,,unknown
"37.5019,15.0802",,,unknown
"37.5020,15.0936",,,unknown
"37.5024,15.0847",,,unknown
"37.5027,15.0954",,,unknown
"37.5029,15.0877",,,unknown
"37.5029,15.0878",,,unknown
"37.5030,15.0844",,,unknown
"37.5031,15.0900",,,unknown
"37.5033,15.0912",,,unknown
"37.5033,15.0926",,,unknown
"37.5037,15.0908",,,unknown
"37.5038,15.0811",,,unknown
"37.5038,15.0899",,,unknown
"37.5038,15.0901",,,unknown
"37.5043,15.0885",,,unknown
"37.5045,15.0877",,,unknown
"37.5047,15.0814",,,unknown
"37.5047,15.0818",,,unknown
"37.5049,15.0874",,,unknown
"37.5049,15.0880",,,unknown
"37.5051,15.0954",,,unknown
"37.5051,15.0955",,,unknown
"37.5055,15.0703",,,unknown
"37.5056,15.0848",,,unknown
"37.5056,15.0849",,,unknown
"37.5061,15.0526",,,unknown
"37.5063,15.0885",,,unknown
"37.5063,15.0979",,,unknown
"37.5065,15.0955",,,unknown
"37.5065,15.0982",,,unknown
"37.5066,15.0928",,,unknown
