city,name,points,capacity
rome,Rome,490,8053
naples,Naples,416,3108
milan,Milan,307,3096
catania,Catania,138,1020
florence,Florence,115,1146
caserta,Caserta,107,120
palermo,Palermo,107,1166
bologna,Bologna,100,1168
turin,Turin,96,612
venice,Venice,93,1535
bari,Bari,68,1067
verona,Verona,65,243
salerno,Salerno,58,595
brescia,Brescia,53,120
bergamo,Bergamo,48,275
frosinone,Frosinone,43,0
messina,Messina,42,120
genoa,Genoa,37,256
pisa,Pisa,37,897
latina,Latina,35,0
cagliari,Cagliari,33,0
padova,Padova,33,267
como,Como,29,245
pescara,Pescara,29,45
cesena,Cesena,26,105
modena,Modena,26,110
treviso,Treviso,26,5
vicenza,Vicenza,25,10
lecce,Lecce,24,525
parma,Parma,24,60
cosenza,Cosenza,23,0
trieste,Trieste,23,16
udine,Udine,21,0
perugia,Perugia,19,155
reggio-calabria,Reggio Calabria,19,300
rimini,Rimini,19,160
trapani,Trapani,18,195
matera,Matera,17,35
trani,Trani,17,0
avellino,Avellino,16,0
piacenza,Piacenza,16,25
ragusa,Ragusa,16,80
taranto,Taranto,15,90
vibo-valentia,Vibo Valentia,15,0
la-spezia,La Spezia,14,81
potenza,Potenza,14,0
siena,Siena,14,32
ancona,Ancona,13,110
foggia,Foggia,13,20
monza,Monza,13,0
novara,Novara,13,0
varese,Varese,13,100
agrigento,Agrigento,12,120
chieti,Chieti,12,25
lecco,Lecco,12,80
pordenone,Pordenone,12,0
ravenna,Ravenna,12,100
verbania,Verbania,12,210
brindisi,Brindisi,11,200
catanzaro,Catanzaro,11,0
trento,Trento,11,20
ferrara,Ferrara,10,50
livorno,Livorno,10,55
lucca,Lucca,10,142
pavia,Pavia,9,35
sassari,Sassari,9,0
savona,Savona,9,0
arezzo,Arezzo,8,15
bolzano,Bolzano,8,0
laquila,L'Aquila,8,0
reggio-emilia,Reggio Emilia,8,0
sondrio,Sondrio,8,0
teramo,Teramo,8,0
cremona,Cremona,7,0
aosta,Aosta,6,0
belluno,Belluno,6,0
olbia,Olbia,6,0
oristano,Oristano,6,0
terni,Terni,6,6
benevento,Benevento,5,0
crotone,Crotone,5,100
viterbo,Viterbo,5,10
isernia,Isernia,4,30
pesaro,Pesaro,4,6
campobasso,Campobasso,3,100
enna,Enna,3,5
rieti,Rieti,3,0
tempio-pausania,Tempio Pausania,3,0
vercelli,Vercelli,3,10
alessandria,Alessandria,2,0
ascoli-piceno,Ascoli Piceno,2,0
cuneo,Cuneo,1,0
