seen_on,brand,city,name,lat,lng,capacity,reviews,rating,price_from,note,url
2026-09-23,stowyourbags,rome,Vatican Museums,41.9073597,12.456266899999946,,1729,4.7,2.49,"sizes=2;address=Via Germanico 20, 00192 Roma",https://www.stowyourbags.com/en/shop/rome/luggage-storage-vatican-st-peter/
2026-09-23,stowyourbags,milan,Milano Centrale Train Station,45.4858701,9.209189700000024,,4320,4.7,1.49,"sizes=3;address=Via G. Battista Pergolesi, 22 20124 Milano",https://www.stowyourbags.com/en/shop/milan/luggage-storage-milan-central-station/
2026-09-23,stowyourbags,rome,Spanish Steps District,41.9037594,12.481190800000036,,1052,4.7,2.49,"sizes=2;address=Via della Vite 42, 00187 Roma",https://www.stowyourbags.com/en/shop/rome/luggage-storage-spanish-steps/
2026-09-23,stowyourbags,florence,Uffizi District,43.7698913,11.258183499999973,,835,4.7,2.49,"sizes=2;address=Via dell'Anguillara 58, 50122 Firenze",https://www.stowyourbags.com/en/shop/florence/luggage-storage-florence-piazza-signoria-duomo/
2026-09-23,stowyourbags,rome,City Center | Termini Station,41.8986364,12.50191510000002,,1986,4.6,1.49,"sizes=3;address=Via Filippo Turati 52, 00185 Roma",https://www.stowyourbags.com/en/shop/rome/luggage-storage-termini-train-station-rome/
2026-09-23,stowyourbags,florence,City Center |  Florence Station,43.7749487,11.246065799999997,,1321,4.6,2.49,"sizes=2;address=Via dell'Albero 22, 50123 Firenze",https://www.stowyourbags.com/en/shop/florence/luggage-storage-florence-train-station/
2026-09-23,stowyourbags,naples,Naples Centrale Train Station,40.8551683,14.270551100000034,,1337,4.5,2.49,"sizes=2;address=Via Venezia 64, 80142 Napoli",https://www.stowyourbags.com/en/shop/naples/luggage-storage-naples-central-station/
2026-09-23,stowyourbags,venice,City Center | Rialto District,45.437976,12.337400099999968,,543,4.6,2.99,"sizes=1;address=Calle de l'Orso 5512 A, 30124 Venezia",https://www.stowyourbags.com/en/shop/venice/rialto-bridge-san-marco/
2026-09-23,stowyourbags,venice,Santa Lucia Train Station,45.4424789,12.32434950000004,,2024,4.7,2.49,"sizes=2;address=Calle dello Spezier 193, 30100 Venezia",https://www.stowyourbags.com/en/shop/venice/luggage-storage-santa-lucia-train-station-venice/
2026-09-23,stowyourbags,catania,Via Etnea | Bellini Theater,37.5045378,15.087672300000008,,557,4.7,2.49,"sizes=2;address=Via Antonino Mancini 22, 95131 Catania",https://www.stowyourbags.com/en/shop/catania/luggage-storage-catania-city-center/
2026-09-23,stowyourbags,pisa,City Center | Pisa Station,43.709743,10.400825,,1395,4.6,2.49,"sizes=2;address=Via Cristoforo Colombo 6, 56125 Pisa",https://www.stowyourbags.com/en/shop/pisa/luggage-storage-pisa-centrale-station/
2026-09-23,stowyourbags,verona,Verona Arena,45.4392923,10.991848,,841,4.8,2.49,"sizes=2;address=Via Dietro Listone, 19 C, 37121 Verona",https://www.stowyourbags.com/en/shop/verona/luggage-storage-arena-of-verona/
2026-09-23,stowyourbags,turin,Turin Porta Nuova Train Station,45.063847,7.677491,,1145,4.7,2.49,"sizes=2;address=Via Alessandro Volta 1G, 10121 Torino",https://www.stowyourbags.com/en/shop/turin/luggage-storage-porta-nuova-station/
2026-09-23,stowyourbags,bari,Bari Centrale Train Station,41.118786,16.871065,,1612,4.7,1.49,"sizes=3;address=Piazza Aldo Moro 29, 70121 Bari",https://www.stowyourbags.com/en/shop/bari/luggage-storage-bari-central-station/
2026-09-23,stowyourbags,rome,Colosseum,41.893041,12.488991,,1141,4.8,2.49,"sizes=2;address=Via del Colosseo 2, 00184 Roma",https://www.stowyourbags.com/en/shop/rome/colosseum-roman-forum/
