status,type,province,town,title,price,sqm,portal,link,published,first_seen,last_seen,id,possible_duplicate
active,to check,PD,Villa Estense,"Attività commerciale via Roma, Centro, Villa Estense",70000,100,immobiliare.it,https://www.immobiliare.it/annunci/122121718/,,2026-09-22,2026-09-22,immobiliare-122121718,
active,to check,PD,Galliera Veneta,"Attività commerciale, Centro, Galliera Veneta",38000,55,immobiliare.it,https://www.immobiliare.it/annunci/126861673/,,2026-09-22,2026-09-22,immobiliare-126861673,
active,to check,PD,Padova,"Attività commerciale via Cesare Crescente, Guizza, Padova",58000,80,immobiliare.it,https://www.immobiliare.it/annunci/119786464/,,2026-09-22,2026-09-22,immobiliare-119786464,
active,to check,TV,Ponte di Piave,"Attività commerciale piazza Marco Polo 5, Centro, Ponte di Piave",40000,100,immobiliare.it,https://www.immobiliare.it/annunci/126373237/,,2026-09-22,2026-09-22,immobiliare-126373237,
active,to check,TV,Treviso,"Attività commerciale Porta San Tomaso, Piazza del Grano - Burchiellati, Treviso",65000,75,immobiliare.it,https://www.immobiliare.it/annunci/128666620/,,2026-09-22,2026-09-22,immobiliare-128666620,
active,self-service (from duplicate),VE,Mirano,"Attività commerciale via Castellantico, Mirano Paese, Mirano",40000,70,immobiliare.it,https://www.immobiliare.it/annunci/125441615/,,2026-09-22,2026-09-22,immobiliare-125441615,https://case.trovit.it/detail/trovit-IT-5140002766056223241
active,to check,VE,Martellago,"Attività commerciale, Centro, Martellago",100000,86,immobiliare.it,https://www.immobiliare.it/annunci/130912034/,,2026-09-22,2026-09-22,immobiliare-130912034,
active,self-service (from duplicate),VE,Venezia,"Attività commerciale via Monte Cervino 37, Favaro Veneto, Venezia",45000,60,immobiliare.it,https://www.immobiliare.it/annunci/131504918/,,2026-09-22,2026-09-22,immobiliare-131504918,https://case.trovit.it/detail/trovit-IT-8980005785838353245
active,self-service,VE,Venezia,Cedesi attivit lavanderia self service avviata – Chiavi in mano – Venezia,45000,60,Trovit (BAKECA),https://case.trovit.it/detail/trovit-IT-8980005785838353245,,2026-09-22,2026-09-22,trovit-trovit-IT-8980005785838353245,https://www.immobiliare.it/annunci/131504918/
active,self-service,VE,Mirano,Lavanderia in vendita a Mirano,40000,70,Trovit (COMMERCIALI - 4C SRL),https://case.trovit.it/detail/trovit-IT-5140002766056223241,,2026-09-22,2026-09-22,trovit-trovit-IT-5140002766056223241,https://www.immobiliare.it/annunci/125441615/
active,self-service,TV,Montebelluna,Lavanderia self service,32000,,Subito,https://www.subito.it/elettrodomestici/lavanderia-self-service-treviso-484691762.htm,2025-03-30,2026-09-22,2026-09-22,subito-484691762,
active,equipment,TV,Treviso,Lavatrici per lavanderia ad acqua,,,Subito,https://www.subito.it/elettrodomestici/lavatrici-per-lavanderia-ad-acqua-treviso-458809300.htm,2025-10-02,2026-09-22,2026-09-22,subito-458809300,
active,staffed,TV,Oderzo,Lavasecco,1000,150,Subito,https://www.subito.it/uffici-locali-commerciali/lavasecco-treviso-636084357.htm,2026-02-17,2026-09-22,2026-09-22,subito-636084357,
active,self-service,VE,Mirano,Lavanderia Self Automatica,,80,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-automatica-venezia-647516958.htm,2026-05-18,2026-09-22,2026-09-22,subito-647516958,
active,self-service,PD,Padova,Locale per lavanderia automatica [rent],,30,Subito,https://www.subito.it/uffici-locali-commerciali/locale-per-lavanderia-automatica-padova-646400479.htm,2026-06-08,2026-09-22,2026-09-22,subito-646400479,
active,staffed,PD,Padova,Lavanderia e pulitura,50000,45,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-e-pulitura-padova-650328186.htm,2026-06-10,2026-09-22,2026-09-22,subito-650328186,
active,self-service,VE,Venezia,Attività lavanderia self-service avviata Venezia,45000,60,Subito,https://www.subito.it/uffici-locali-commerciali/attivita-lavanderia-self-service-avviata-venezia-venezia-653696706.htm,2026-07-10,2026-09-22,2026-09-22,subito-653696706,https://case.trovit.it/detail/trovit-IT-8980005785838353245
active,equipment,PD,Padova,Cassa centralizzata per lavanderie self service,,,Subito,https://www.subito.it/attrezzature/cassa-centralizzata-per-lavanderie-self-service-padova-653839435.htm,2026-07-26,2026-09-22,2026-09-22,subito-653839435,
active,self-service,TV,Trevignano,Lavanderia self service,,108,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-service-treviso-655536972.htm,2026-07-27,2026-09-22,2026-09-22,subito-655536972,
active,self-service,TV,Ponte di Piave,Lavanderia [rent],1300,100,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-treviso-657402775.htm,2026-08-17,2026-09-22,2026-09-22,subito-657402775,
active,self-service,TV,Ponte di Piave,Lavanderia self service,35000,100,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-service-treviso-657402580.htm,2026-08-19,2026-09-22,2026-09-22,subito-657402580,
active,equipment,PD,Padova,Lavanderia self service,31000,,Subito,https://www.subito.it/attrezzature/lavanderia-self-service-padova-657455374.htm,2026-08-23,2026-09-22,2026-09-22,subito-657455374,
active,equipment,PD,Vigonza,Casse centralizzate per lavanderie self Service,6500,,Subito,https://www.subito.it/attrezzature/casse-centralizzate-per-lavanderie-self-service-padova-659281686.htm,2026-09-02,2026-09-22,2026-09-22,subito-659281686,
