name,kind,lat,lng
Monte-Carlo,suburb,43.7402961,7.426559
Randens,quarter,45.5452732,6.308202
Davos Dorf,suburb,46.8065596,9.8381801
Annecy-le-Vieux,suburb,45.9191358,6.1420652
Seynod,suburb,45.8880398,6.0992785
Cran-Gevrier,suburb,45.9079102,6.106538
Meythet,suburb,45.9156416,6.0920278
Aigueblanche,quarter,45.5016887,6.5083788
Pringy,suburb,45.9465361,6.1221356
Prévessin-Moëns,neighbourhood,46.257389,6.0873747
Toponár,suburb,46.3935614,17.8347968
San Pio X,suburb,45.0742162,11.7725444
Vič,suburb,46.0415021,14.4772445
Šiška,suburb,46.0737204,14.485868
Dravlje,suburb,46.0811396,14.4752006
Bežigrad,suburb,46.068061,14.5098859
Moste,suburb,46.0567523,14.5467033
Carpenedo,suburb,45.5046692,12.250759
Hötting,suburb,47.2703069,11.3831353
Hungerburg,suburb,47.2854943,11.3964396
Allerheiligen,neighbourhood,47.2695722,11.3535265
Tassina,suburb,45.0624767,11.7835685
Commenda,suburb,45.0780695,11.7871357
Commenda Est,suburb,45.080402,11.8004309
San Bortolo,suburb,45.0650659,11.79839
Matte,quarter,46.9471596,7.4567317
Marzili,quarter,46.943578,7.4428527
Dalmazi,quarter,46.9407769,7.4458571
Wabern,suburb,46.9291293,7.4498328
Monbijou,quarter,46.9438088,7.435025
Liebefeld,suburb,46.9322404,7.4204692
Neufeld,quarter,46.9590316,7.4280975
Lorraine,quarter,46.9600574,7.4451424
Tiefenau,quarter,46.9763047,7.4540038
Worblaufen,suburb,46.9796826,7.4598942
Länggasse,quarter,46.9529599,7.4369536
Bümpliz,quarter,46.9436443,7.3893222
Mattenhof,quarter,46.9441913,7.4259556
Kirchenfeld,quarter,46.9403813,7.4499646
Niederwangen,suburb,46.926025,7.3762112
Wilten,suburb,47.2590472,11.3953024
Saggen,suburb,47.2751555,11.4039577
Altstadt,suburb,47.2681973,11.3927729
Gasel,suburb,46.8996747,7.4034016
Niederscherli,suburb,46.8850228,7.3893334
Flamatt,suburb,46.8894589,7.3110208
Amras,suburb,47.2592357,11.4255469
Pradl,suburb,47.2670177,11.4142426
Breitenrain,quarter,46.9601803,7.4503979
Flims Dorf,neighbourhood,46.8367698,9.2876705
La Ferrière,quarter,45.3199,6.08686
Pinsot,quarter,45.3570757,6.0999506
Bibione Pineda,suburb,45.6325562,13.0038455
Tabor,suburb,46.5443919,15.6423209
Studenci,suburb,46.5541162,15.6218494
Pobrežje,suburb,46.5496928,15.6695008
Borova vas,suburb,46.5440314,15.6206949
Tezno,suburb,46.5333478,15.6703044
Étable,quarter,45.4639,6.14366
Francin,quarter,45.5001389,6.0333465
Hermillon,quarter,45.299115,6.3624976
Le Bois,quarter,45.491117,6.498343
Les Marches,quarter,45.5003,6.00036
Saint-Oyen,quarter,45.5032,6.485
Gewerbegebiet Roßau,suburb,47.2691258,11.4328483
Rapattoni Nuovo,suburb,42.3719729,14.0595387
Villanova,suburb,42.3842378,14.1246901
Mühlau,suburb,47.2847005,11.4101895
Arzl,suburb,47.283434,11.4297668
Igls,suburb,47.2310263,11.4079216
Vill,suburb,47.235373,11.4019568
Nova vas,suburb,46.5389346,15.6264341
Zgornje Radvanje,suburb,46.5382359,15.6071533
Spodnje Radvanje,suburb,46.5347287,15.6239121
Brezje,suburb,46.5405784,15.6842584
Greenwich,suburb,46.5536476,15.6606997
Melje,suburb,46.5580519,15.6637718
Koroška vrata,suburb,46.5635805,15.627866
Palombaggia,neighbourhood,41.5615822,9.3338278
La Gradelle,neighbourhood,46.2033169,6.1854054
Borgo,quarter,45.8621038,9.0989396
Cinisello,suburb,45.5561818,9.2142147
Bettola,suburb,45.4313504,9.3135848
Ponteggia,quarter,46.3303225,9.4824716
Castello,neighbourhood,45.9492211,8.6652135
Casella d'Asolo,suburb,45.789568,11.9207904
Mason Vicentino,neighbourhood,45.7182611,11.6070566
Tisis,suburb,47.2260967,9.5818484
Tosters,suburb,47.23835,9.5778809
Levis,suburb,47.2501508,9.6115804
Altenstadt,suburb,47.2603451,9.6179152
Gisingen,suburb,47.2588782,9.597038
Nofels,suburb,47.2546761,9.5759927
Vojničko polje,quarter,43.8411129,18.340426
Blažuj,suburb,43.8401451,18.258022
Grbavica,suburb,43.8512613,18.3984371
Butmir,suburb,43.8190637,18.3256681
Vojkovići,suburb,43.7954335,18.3460541
Osjek,suburb,43.8435516,18.277292
Lemezi,suburb,43.8704401,18.317337
Vitkovac,suburb,43.8596393,18.3396992
Boljakov Potok,suburb,43.8562415,18.3478016
Alipašin most,suburb,43.8486024,18.3456776
Buća Potok,suburb,43.8611585,18.3585336
Vreoca,suburb,43.8343861,18.2894414
Otes,suburb,43.8408185,18.2969773
Puštal,suburb,46.1618394,14.3107111
Pekre,suburb,46.5433374,15.5925529
Limbuš,suburb,46.5543241,15.5824567
Vranješ,quarter,43.817619,18.3723485
Madonna degli Angeli,neighbourhood,42.5087287,13.9699344
L-Imrieħel,suburb,35.8877939,14.4697482
Tal-Ħandaq,suburb,35.8701712,14.4691903
Il-Qbajjar,suburb,36.0761164,14.2555954
Donji Kotorac,suburb,43.8177692,18.3378372
Malagny,neighbourhood,46.270023,6.1584792
Kisfalud,neighbourhood,47.2032348,18.4976666
Agárd,suburb,47.1930654,18.6049532
Dinnyés,suburb,47.173237,18.5667944
Sankt Andrä,quarter,46.6498092,13.8956528
Töröcske,suburb,46.3069395,17.7837073
Gyapa,suburb,46.6806593,18.8070018
Palánk,suburb,46.3807331,18.7233522
Mittelhäusern,suburb,46.8761849,7.36711
San Linêrt - St. Leonhard - S. Leonardo,neighbourhood,46.6109301,11.900335
Pedraces - Pedratsches,neighbourhood,46.6094709,11.8936604
Laa,suburb,46.959961,15.4257496
Wetzelsdorf,suburb,47.0497207,15.3941676
Fidaz,neighbourhood,46.8409607,9.3097167
Schadendorf,neighbourhood,46.9842891,15.3182137
Kaindorf an der Sulm,suburb,46.7921853,15.5385761
Feistritz an der Drau-Neusiedlung,neighbourhood,46.6951355,13.6663836
Oberwollanig,neighbourhood,46.6445799,13.8168561
Feistritz,neighbourhood,46.9131666,12.3669806
Goritschach,neighbourhood,46.6126559,13.8085669
Völkendorf,suburb,46.6092098,13.8343673
Tschinowitsch,neighbourhood,46.5908211,13.8581546
Görtschach,neighbourhood,46.9271923,12.4328995
Steinberg-Unterhaus,neighbourhood,46.731475,14.926723
Drautschen,neighbourhood,46.620825,13.9182721
Sankt Martin,suburb,46.6240717,14.2797796
St. Johann,suburb,46.8196,14.856746
Obervellach-West,neighbourhood,46.9346686,13.1973831
Sankt Leonhard,suburb,47.0682874,15.4563438
Spatenhof,neighbourhood,46.9671795,15.3557284
Kohldorf,neighbourhood,46.6247445,14.2727216
Kumitz,neighbourhood,46.6399712,13.8745783
Innerrotte,neighbourhood,46.9178871,12.3391903
Ries,suburb,47.0881129,15.4971798
Warmbad-Judendorf,suburb,46.5896992,13.8237195
Schmirn,neighbourhood,47.0792921,11.5639472
Hörgas,suburb,47.1429663,15.2958978
Sankt Ruprecht bei Villach,quarter,46.6465031,13.8704454
Gratschach,neighbourhood,46.636904,13.8974356
Höf,neighbourhood,47.2879179,12.9454864
Oberassling,neighbourhood,46.7886746,12.6390592
Neumüllnern,neighbourhood,46.567386,13.8430484
Laafeld,suburb,46.6871267,16.0053084
Innere Stadt,suburb,47.0742608,15.4384663
Kleinedling,suburb,46.8096938,14.8319139
Sankt Stefan,suburb,46.8055342,14.8494604
St. Ruprecht,suburb,46.6117578,14.3108782
Oberrotte,neighbourhood,46.9146686,12.3179137
Gams,suburb,47.2781637,15.2831292
St. Leonhard,suburb,46.626846,13.8571001
Ritzing,suburb,46.8485343,14.8422637
Lindl,suburb,46.7184723,14.0976988
Straßgang,suburb,47.0353729,15.4066726
Auen,suburb,46.5920558,13.8449962
Klausen,suburb,47.2741851,12.483848
Rosenegg,neighbourhood,46.612625,14.3597466
Bierbaum,suburb,46.9633126,15.4172639
Unterrotte,neighbourhood,46.9169745,12.3238251
Gschnaidt,quarter,47.1410483,15.1868039
Neulandskron,quarter,46.6272848,13.8692909
Neufellach,suburb,46.6195316,13.8169744
Thörishaus,suburb,46.8927177,7.3507545
Adriach,suburb,47.2668276,15.3072396
Thal-Wilfern,neighbourhood,46.7810623,12.6448784
Sankt Jakob,suburb,46.8412708,14.8323179
Liebenau,suburb,47.0401686,15.4492647
Davos Platz,suburb,46.7933845,9.8206999
March,neighbourhood,47.283156,12.9641135
Vorstadt,neighbourhood,47.2034001,14.2778337
Innere Stadt,suburb,46.6144405,13.8452346
Unterwollanig,neighbourhood,46.6407831,13.8263715
Großvassach,quarter,46.6316532,13.8469317
Eisbach,suburb,47.1319067,15.2869042
Kleinvassach,quarter,46.6364596,13.8549497
Judendorf,quarter,46.5998054,13.823498
Unterassling,neighbourhood,46.7864352,12.6387027
Mariatrost,suburb,47.1016853,15.4800905
Seebach-Wasenboden,suburb,46.6173018,13.8639775
St. Andrä,neighbourhood,47.017444,12.378075
Obere Fellach,suburb,46.6321233,13.815037
Priel,suburb,46.8307717,14.8361111
Sankt Veit,neighbourhood,47.1163916,15.407925
