read_at,command,slug,stage,outcome
2026-09-23 17:17,read,sporting-club-mestre,club page,HTTP 403
2026-09-23 17:17,read,padel-by-fitup-di-zero-branco,club page,HTTP 403
2026-09-23 17:17,read,aquafit-padel,club page,HTTP 403
2026-09-23 17:17,read,sph-venezia,club page,HTTP 403
2026-09-23 17:17,read,padel-treviso,club page,HTTP 403
2026-09-23 17:17,read,altino-sport-village,club page,HTTP 403
2026-09-23 17:17,read,barchessa-pickleball,club page,HTTP 403
2026-09-23 17:17,read,h-farm-campus,club page,HTTP 403
2026-09-23 17:17,read,sph-treviso-sporting,club page,HTTP 403
2026-09-23 17:17,read,marina-sporting,club page,HTTP 403
2026-09-23 21:57,read,sporting-club-mestre,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,padel-by-fitup-di-zero-branco,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,aquafit-padel,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,sph-venezia,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,padel-treviso,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,altino-sport-village,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,barchessa-pickleball,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,h-farm-campus,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,sph-treviso-sporting,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-23 21:57,read,marina-sporting,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,sporting-club-mestre,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,padel-by-fitup-di-zero-branco,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,aquafit-padel,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,sph-venezia,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,padel-treviso,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,altino-sport-village,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,barchessa-pickleball,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,h-farm-campus,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,sph-treviso-sporting,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 00:07,lead,marina-sporting,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 01:25,read,sporting-club-mestre,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 01:25,read,padel-by-fitup-di-zero-branco,club page,"HTTP 403 plain, HTTP 403 as browser too"
2026-09-24 01:25,read,aquafit-padel,club page,"HTTP 403 plain, HTTP 403 as browser too"
