updated_at,month,club,cover,day_type,time_band,days_observed,courts,half_hours_observed,half_hours_booked,booked_share,booked_hours_per_court_per_day
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekday,afternoon,5,2,38,13,0.342,0.65
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekday,evening,6,2,62,45,0.726,1.88
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekday,lunch,5,2,36,2,0.056,0.1
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekday,morning,3,2,24,1,0.042,0.08
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekend,afternoon,1,2,14,2,0.143,0.5
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekend,evening,1,2,10,10,1.0,2.5
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekend,lunch,1,2,4,4,1.0,1.0
2026-09-25 12:00,2026-09,Altino Sport Village,indoor,weekend,morning,1,2,4,0,0.0,0.0
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekday,afternoon,5,2,54,9,0.167,0.45
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekday,evening,6,2,68,47,0.691,1.96
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekday,lunch,5,2,36,2,0.056,0.1
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekday,morning,3,2,24,0,0.0,0.0
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekend,afternoon,1,2,16,16,1.0,4.0
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekend,lunch,2,2,10,10,1.0,1.25
2026-09-25 12:00,2026-09,Aquafit Padel,outdoor,weekend,morning,1,2,4,4,1.0,1.0
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekday,afternoon,5,3,57,21,0.368,0.7
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekday,evening,6,3,75,71,0.947,1.97
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekday,lunch,5,3,54,2,0.037,0.07
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekday,morning,3,3,48,0,0.0,0.0
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekend,afternoon,1,3,21,15,0.714,2.5
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekend,evening,1,3,6,6,1.0,1.0
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekend,lunch,1,3,6,1,0.167,0.17
2026-09-25 12:00,2026-09,Barchessa Padel e Pikleball,indoor,weekend,morning,1,3,6,0,0.0,0.0
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekday,afternoon,2,2,4,0,0.0,0.0
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekday,evening,5,2,40,22,0.55,1.1
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekend,afternoon,1,2,14,0,0.0,0.0
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekend,evening,1,2,14,8,0.571,2.0
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekend,lunch,1,2,4,0,0.0,0.0
2026-09-25 12:00,2026-09,H-FARM CAMPUS,outdoor,weekend,morning,1,2,4,0,0.0,0.0
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekday,afternoon,5,2,38,12,0.316,0.6
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekday,evening,5,2,40,33,0.825,1.65
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekday,lunch,5,2,36,20,0.556,1.0
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekday,morning,3,2,32,26,0.812,2.17
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekend,afternoon,1,2,14,0,0.0,0.0
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekend,evening,1,2,14,12,0.857,3.0
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekend,lunch,1,2,4,4,1.0,1.0
2026-09-25 12:00,2026-09,Marina Sporting,outdoor,weekend,morning,1,2,4,4,1.0,1.0
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekday,afternoon,5,7,133,53,0.398,0.76
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekday,evening,6,7,238,195,0.819,2.32
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekday,lunch,5,7,126,18,0.143,0.26
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekday,morning,3,7,84,3,0.036,0.07
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekend,afternoon,1,7,56,13,0.232,0.93
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekend,evening,1,7,21,21,1.0,1.5
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekend,lunch,2,7,35,1,0.029,0.04
2026-09-25 12:00,2026-09,Padel Treviso,indoor,weekend,morning,1,7,14,1,0.071,0.07
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekday,afternoon,5,5,95,33,0.347,0.66
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekday,evening,6,5,170,131,0.771,2.18
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekday,lunch,5,5,90,3,0.033,0.06
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekday,morning,3,5,60,0,0.0,0.0
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekend,afternoon,1,5,40,16,0.4,1.6
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekend,evening,1,5,15,15,1.0,1.5
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekend,lunch,2,5,25,3,0.12,0.15
2026-09-25 12:00,2026-09,Padel Treviso,outdoor,weekend,morning,1,5,10,0,0.0,0.0
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekday,afternoon,5,1,30,0,0.0,0.0
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekday,evening,4,1,12,9,0.75,1.12
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekday,lunch,6,1,22,0,0.0,0.0
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekday,morning,4,1,13,0,0.0,0.0
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekend,lunch,1,1,2,2,1.0,1.0
2026-09-25 12:00,2026-09,Padel by FitUP di Zero Branco,indoor,weekend,morning,1,1,2,2,1.0,1.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekday,afternoon,5,4,76,33,0.434,0.82
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekday,evening,6,4,112,106,0.946,2.21
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekday,lunch,5,4,72,5,0.069,0.12
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekday,morning,3,4,68,4,0.059,0.17
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekend,afternoon,1,4,28,9,0.321,1.12
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekend,evening,1,4,8,8,1.0,1.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekend,lunch,1,4,8,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,indoor,weekend,morning,1,4,8,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekday,afternoon,5,3,57,9,0.158,0.3
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekday,evening,6,3,84,60,0.714,1.67
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekday,lunch,5,3,54,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekday,morning,3,3,51,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekend,afternoon,1,3,21,3,0.143,0.5
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekend,evening,1,3,6,6,1.0,1.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekend,lunch,1,3,6,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Treviso Sporting,outdoor,weekend,morning,1,3,6,0,0.0,0.0
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekday,afternoon,5,5,115,58,0.504,1.16
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekday,evening,6,5,155,119,0.768,1.98
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekday,lunch,5,5,90,19,0.211,0.38
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekday,morning,3,5,80,12,0.15,0.4
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekend,afternoon,1,5,40,4,0.1,0.4
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekend,evening,1,5,20,20,1.0,2.0
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekend,lunch,2,5,25,3,0.12,0.15
2026-09-25 12:00,2026-09,SPH - Venezia,indoor,weekend,morning,1,5,10,2,0.2,0.2
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekday,afternoon,5,2,66,28,0.424,1.4
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekday,evening,6,2,60,49,0.817,2.04
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekday,lunch,6,2,46,6,0.13,0.25
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekday,morning,5,2,36,6,0.167,0.3
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekend,afternoon,1,2,16,15,0.938,3.75
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekend,evening,1,2,2,2,1.0,0.5
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekend,lunch,2,2,10,2,0.2,0.25
2026-09-25 12:00,2026-09,Sporting Club Mestre,indoor,weekend,morning,1,2,4,0,0.0,0.0
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekday,afternoon,5,2,66,37,0.561,1.85
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekday,evening,6,2,60,44,0.733,1.83
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekday,lunch,6,2,46,19,0.413,0.79
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekday,morning,5,2,36,17,0.472,0.85
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekend,afternoon,1,2,16,13,0.812,3.25
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekend,evening,1,2,2,2,1.0,0.5
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekend,lunch,2,2,10,5,0.5,0.62
2026-09-25 12:00,2026-09,Sporting Club Mestre,outdoor,weekend,morning,1,2,4,4,1.0,1.0
