read_at,date,weekday,day_type,club,slug,court,cover,start,time_band,status,price_90,price_60
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,outdoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,outdoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,outdoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,outdoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,indoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,indoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,indoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,indoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 1,outdoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 1,outdoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 1,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 1,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 2,outdoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 2,outdoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 2,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Aquafit Padel,aquafit-padel,Padel 2,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 1,indoor,20:30,evening,free,,40 EUR
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 1,indoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 1,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 1,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 2,indoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 2,indoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 2,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 2,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 3,indoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 3,indoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 3,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 3,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,indoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,indoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,indoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,indoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,1 Esterno,outdoor,20:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,1 Esterno,outdoor,21:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,1 Esterno,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,1 Esterno,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,2 Esterno,outdoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,2 Esterno,outdoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,2 Esterno,outdoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,2 Esterno,outdoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,3 COPERTO,indoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,3 COPERTO,indoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,3 COPERTO,indoor,21:30,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,3 COPERTO,indoor,22:00,evening,booked,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,4 COPERTO,indoor,20:30,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,4 COPERTO,indoor,21:00,evening,free,,
2026-09-17 20:09,2026-09-17,Thu,weekday,Padel Treviso,padel-treviso,4 COPERTO,indoor,21:30,evening,booked,,
