updated_at,club,cover,day_type,time_band,days_observed,half_hours_observed,half_hours_booked,booked_share
2026-09-25 22:26,Altino Sport Village,indoor,weekday,afternoon,6,54,16,0.296
2026-09-25 22:26,Altino Sport Village,indoor,weekday,evening,7,64,46,0.719
2026-09-25 22:26,Altino Sport Village,indoor,weekday,lunch,5,36,2,0.056
2026-09-25 22:26,Altino Sport Village,indoor,weekday,morning,3,24,1,0.042
2026-09-25 22:26,Altino Sport Village,indoor,weekend,afternoon,1,14,2,0.143
2026-09-25 22:26,Altino Sport Village,indoor,weekend,evening,1,10,10,1.0
2026-09-25 22:26,Altino Sport Village,indoor,weekend,lunch,1,4,4,1.0
2026-09-25 22:26,Altino Sport Village,indoor,weekend,morning,1,4,0,0.0
2026-09-25 22:26,Aquafit Padel,outdoor,weekday,afternoon,6,70,9,0.129
2026-09-25 22:26,Aquafit Padel,outdoor,weekday,evening,7,70,47,0.671
2026-09-25 22:26,Aquafit Padel,outdoor,weekday,lunch,5,36,2,0.056
2026-09-25 22:26,Aquafit Padel,outdoor,weekday,morning,3,24,0,0.0
2026-09-25 22:26,Aquafit Padel,outdoor,weekend,afternoon,1,16,16,1.0
2026-09-25 22:26,Aquafit Padel,outdoor,weekend,lunch,2,10,10,1.0
2026-09-25 22:26,Aquafit Padel,outdoor,weekend,morning,1,4,4,1.0
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekday,afternoon,6,81,33,0.407
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekday,evening,7,78,72,0.923
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekday,lunch,5,54,2,0.037
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekday,morning,3,48,0,0.0
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekend,afternoon,1,21,15,0.714
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekend,evening,1,6,6,1.0
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekend,lunch,1,6,1,0.167
2026-09-25 22:26,Barchessa Padel e Pikleball,indoor,weekend,morning,1,6,0,0.0
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekday,afternoon,3,6,0,0.0
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekday,evening,6,42,22,0.524
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekend,afternoon,1,14,0,0.0
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekend,evening,1,14,8,0.571
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekend,lunch,1,4,0,0.0
2026-09-25 22:26,H-FARM CAMPUS,outdoor,weekend,morning,1,4,0,0.0
2026-09-25 22:26,Marina Sporting,outdoor,weekday,afternoon,6,54,13,0.241
2026-09-25 22:26,Marina Sporting,outdoor,weekday,evening,6,42,33,0.786
2026-09-25 22:26,Marina Sporting,outdoor,weekday,lunch,5,36,20,0.556
2026-09-25 22:26,Marina Sporting,outdoor,weekday,morning,3,32,26,0.812
2026-09-25 22:26,Marina Sporting,outdoor,weekend,afternoon,1,14,0,0.0
2026-09-25 22:26,Marina Sporting,outdoor,weekend,evening,1,14,12,0.857
2026-09-25 22:26,Marina Sporting,outdoor,weekend,lunch,1,4,4,1.0
2026-09-25 22:26,Marina Sporting,outdoor,weekend,morning,1,4,4,1.0
2026-09-25 22:26,Padel Treviso,indoor,weekday,afternoon,6,189,85,0.45
2026-09-25 22:26,Padel Treviso,indoor,weekday,evening,7,245,202,0.824
2026-09-25 22:26,Padel Treviso,indoor,weekday,lunch,5,126,18,0.143
2026-09-25 22:26,Padel Treviso,indoor,weekday,morning,3,84,3,0.036
2026-09-25 22:26,Padel Treviso,indoor,weekend,afternoon,1,56,13,0.232
2026-09-25 22:26,Padel Treviso,indoor,weekend,evening,1,21,21,1.0
2026-09-25 22:26,Padel Treviso,indoor,weekend,lunch,2,35,1,0.029
2026-09-25 22:26,Padel Treviso,indoor,weekend,morning,1,14,1,0.071
2026-09-25 22:26,Padel Treviso,outdoor,weekday,afternoon,6,135,41,0.304
2026-09-25 22:26,Padel Treviso,outdoor,weekday,evening,7,175,133,0.76
2026-09-25 22:26,Padel Treviso,outdoor,weekday,lunch,5,90,3,0.033
2026-09-25 22:26,Padel Treviso,outdoor,weekday,morning,3,60,0,0.0
2026-09-25 22:26,Padel Treviso,outdoor,weekend,afternoon,1,40,16,0.4
2026-09-25 22:26,Padel Treviso,outdoor,weekend,evening,1,15,15,1.0
2026-09-25 22:26,Padel Treviso,outdoor,weekend,lunch,2,25,3,0.12
2026-09-25 22:26,Padel Treviso,outdoor,weekend,morning,1,10,0,0.0
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekday,afternoon,6,38,0,0.0
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekday,evening,5,13,9,0.692
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekday,lunch,6,22,0,0.0
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekday,morning,4,13,0,0.0
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekend,lunch,1,2,2,1.0
2026-09-25 22:26,Padel by FitUP di Zero Branco,indoor,weekend,morning,1,2,2,1.0
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekday,afternoon,6,108,49,0.454
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekday,evening,7,116,110,0.948
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekday,lunch,5,72,4,0.056
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekday,morning,3,68,4,0.059
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekend,afternoon,1,28,9,0.321
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekend,evening,1,8,8,1.0
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekend,lunch,1,8,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,indoor,weekend,morning,1,8,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekday,afternoon,6,81,13,0.16
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekday,evening,7,87,63,0.724
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekday,lunch,5,54,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekday,morning,3,51,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,afternoon,1,21,3,0.143
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,evening,1,6,6,1.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,lunch,1,6,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,morning,1,6,0,0.0
2026-09-25 22:26,SPH - Venezia,indoor,weekday,afternoon,6,155,84,0.542
2026-09-25 22:26,SPH - Venezia,indoor,weekday,evening,7,160,122,0.762
2026-09-25 22:26,SPH - Venezia,indoor,weekday,lunch,5,90,19,0.211
2026-09-25 22:26,SPH - Venezia,indoor,weekday,morning,3,80,12,0.15
2026-09-25 22:26,SPH - Venezia,indoor,weekend,afternoon,1,40,4,0.1
2026-09-25 22:26,SPH - Venezia,indoor,weekend,evening,1,20,20,1.0
2026-09-25 22:26,SPH - Venezia,indoor,weekend,lunch,2,25,3,0.12
