city,points,capacity
rome,281,16114
milan,170,7572
naples,123,5988
florence,73,3300
turin,53,2220
catania,42,1670
venice,41,2885
bari,40,2420
palermo,37,1637
bologna,35,1705
pisa,28,1415
cagliari,23,560
genoa,18,875
lucca,18,1080
verona,17,935
lecce,16,520
siena,16,527
syracuse,16,510
rimini,15,612
salerno,13,475
la-spezia,12,540
perugia,12,258
pescara,12,295
trapani,11,815
bergamo,10,320
reggio-calabria,10,680
bolzano,9,270
brindisi,9,665
ferrara,9,410
matera,9,240
trento,9,295
messina,8,240
modena,8,200
agrigento,7,250
aosta,7,525
brescia,7,105
como,7,230
monza,7,455
parma,7,120
ravenna,7,195
savona,7,160
trieste,7,250
ancona,6,300
arezzo,6,185
caserta,6,230
livorno,6,195
padua,6,285
ragusa,6,105
sassari,5,110
taranto,5,130
treviso,5,240
caltanissetta,4,60
cosenza,4,150
cremona,4,175
lecco,4,80
olbia,4,290
pavia,4,85
pesaro,4,240
prato,3,70
reggio-emilia,3,85
vicenza,3,105
asti,2,30
grosseto,2,50
mantua,2,50
massa,2,40
novara,2,225
potenza,2,120
udine,2,40
alessandria,1,15
avellino,1,100
carrara,1,20
catanzaro,1,10
chieti,1,20
crotone,1,20
fermo,1,10
gorizia,1,25
latina,1,200
macerata,1,10
piacenza,1,25
pistoia,1,25
rovigo,1,20
terni,1,300
trani,1,50
varese,1,20
vercelli,1,20
viterbo,1,30
