day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,agrigento,agrigento-train-staion,3,100,0,0.0,0,0,0.0
2026-09-23,agrigento,city-center,3,120,0,0.0,0,0,0.0
2026-09-23,alessandria,tortona,1,15,0,0.0,0,0,0.0
2026-09-23,ancona,ancona-train-station,4,230,2,0.9,2,0,1.0
2026-09-23,aosta,city-center,1,100,0,0.0,0,0,0.0
2026-09-23,aosta,train-station,2,75,3,4.0,3,0,1.5
2026-09-23,arezzo,arezzo-train-station,2,40,0,0.0,0,0,0.0
2026-09-23,arezzo,city-center,4,145,2,1.4,2,0,1.0
2026-09-23,asti,city-center,2,30,0,0.0,0,0,0.0
2026-09-23,bari,altamura,1,10,0,0.0,0,0,0.0
2026-09-23,bari,bari-centrale-train-station,19,1300,0,0.0,0,0,0.0
2026-09-23,bari,bari-vecchia,2,120,2,1.7,2,0,1.0
2026-09-23,bari,basilica-san-nicola,1,30,0,0.0,0,0,0.0
2026-09-23,bari,city-center,4,520,6,1.2,6,0,3.0
2026-09-23,bari,fiera-del-levante,1,30,0,0.0,0,0,0.0
2026-09-23,bari,madonnella,2,80,0,0.0,0,0,0.0
2026-09-23,bari,marconi,2,70,0,0.0,0,0,0.0
2026-09-23,bari,old-town,1,30,0,0.0,0,0,0.0
2026-09-23,bari,palazzo-fizzarotti,1,30,6,20.0,6,0,3.0
2026-09-23,bari,quartiere-umbertino,1,15,0,0.0,0,0,0.0
2026-09-23,bari,teatro-petruzzelli,2,95,0,0.0,0,0,0.0
2026-09-23,bergamo,bergamo-train-station,4,140,1,0.7,1,0,0.5
2026-09-23,bergamo,borgo-palazzo,1,20,0,0.0,0,0,0.0
2026-09-23,bergamo,borgo-santa-caterina,1,20,0,0.0,0,0,0.0
2026-09-23,bergamo,citta-alta,2,75,5,6.7,5,0,2.5
2026-09-23,bologna,belvedere-mercato-delle-erbe,1,30,0,0.0,0,0,0.0
