day,city,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,agrigento,7,250,30,12.0,30,0,15.0
2026-09-23,ancona,5,280,4,1.4,4,0,2.0
2026-09-23,aosta,5,205,1,0.5,1,0,0.5
2026-09-23,arezzo,6,185,2,1.1,2,0,1.0
2026-09-23,asti,2,30,0,0.0,0,0,0.0
2026-09-23,avellino,1,100,0,0.0,0,0,0.0
2026-09-23,bari,38,2350,99,4.2,99,0,49.5
2026-09-23,bergamo,10,320,13,4.1,13,0,6.5
2026-09-23,bologna,33,1645,46,2.8,46,0,23.0
2026-09-23,bolzano,9,270,36,13.3,36,0,18.0
2026-09-23,brescia,6,95,1,1.1,1,0,0.5
2026-09-23,brindisi,8,565,6,1.1,6,0,3.0
2026-09-23,cagliari,21,510,25,4.9,25,0,12.5
2026-09-23,caltanissetta,4,60,0,0.0,0,0,0.0
2026-09-23,carrara,1,20,0,0.0,0,0,0.0
2026-09-23,caserta,6,230,0,0.0,0,0,0.0
2026-09-23,catania,41,1520,77,5.1,77,0,38.5
2026-09-23,catanzaro,1,10,0,0.0,0,0,0.0
2026-09-23,chieti,1,20,0,0.0,0,0,0.0
2026-09-23,como,7,230,48,20.9,48,0,24.0
2026-09-23,cosenza,4,150,0,0.0,0,0,0.0
2026-09-23,cremona,4,175,5,2.9,5,0,2.5
2026-09-23,crotone,1,20,0,0.0,0,0,0.0
2026-09-23,fermo,1,10,1,10.0,1,0,0.5
2026-09-23,ferrara,9,410,2,0.5,2,0,1.0
2026-09-23,florence,69,3100,143,4.6,143,0,71.5
2026-09-23,genoa,18,875,3,0.3,3,0,1.5
2026-09-23,gorizia,1,25,0,0.0,0,0,0.0
2026-09-23,grosseto,2,50,0,0.0,0,0,0.0
2026-09-23,la-spezia,11,500,52,10.4,52,0,26.0
2026-09-23,latina,1,200,0,0.0,0,0,0.0
2026-09-23,lecce,16,520,50,9.6,50,0,25.0
2026-09-23,lecco,4,80,4,5.0,4,0,2.0
2026-09-23,livorno,6,195,4,2.1,4,0,2.0
2026-09-23,lucca,16,810,41,5.1,41,0,20.5
2026-09-23,macerata,1,10,0,0.0,0,0,0.0
2026-09-23,mantua,2,50,28,56.0,28,0,14.0
2026-09-23,massa,2,40,0,0.0,0,0,0.0
2026-09-23,matera,9,240,5,2.1,5,0,2.5
2026-09-23,messina,8,240,4,1.7,4,0,2.0
2026-09-23,milan,161,6497,542,8.3,542,0,271.0
2026-09-23,modena,7,160,14,8.8,14,0,7.0
2026-09-23,monza,6,455,54,11.9,54,0,27.0
2026-09-23,naples,116,5523,220,4.0,220,0,110.0
2026-09-23,novara,2,225,0,0.0,0,0,0.0
2026-09-23,olbia,3,255,117,45.9,117,0,58.5
2026-09-23,padua,6,285,5,1.8,5,0,2.5
2026-09-23,palermo,33,1442,189,13.1,189,0,94.5
2026-09-23,parma,7,120,1,0.8,1,0,0.5
2026-09-23,pavia,4,85,2,2.4,2,0,1.0
2026-09-23,perugia,12,258,40,15.5,40,0,20.0
2026-09-23,pesaro,4,240,0,0.0,0,0,0.0
2026-09-23,pescara,10,245,0,0.0,0,0,0.0
2026-09-23,piacenza,1,25,0,0.0,0,0,0.0
2026-09-23,pisa,26,1345,73,5.4,73,0,36.5
2026-09-23,pistoia,1,25,0,0.0,0,0,0.0
2026-09-23,potenza,2,120,0,0.0,0,0,0.0
2026-09-23,prato,3,70,0,0.0,0,0,0.0
2026-09-23,ragusa,5,95,1,1.1,1,0,0.5
2026-09-23,ravenna,7,195,50,25.6,50,0,25.0
2026-09-23,reggio-calabria,9,650,27,4.2,27,0,13.5
2026-09-23,reggio-emilia,3,85,1,1.2,1,0,0.5
2026-09-23,rimini,15,612,0,0.0,0,0,0.0
2026-09-23,rome,260,13714,1019,7.4,1019,0,509.5
2026-09-23,rovigo,1,20,0,0.0,0,0,0.0
2026-09-23,salerno,12,455,8,1.8,8,0,4.0
2026-09-23,sassari,4,90,0,0.0,0,0,0.0
2026-09-23,savona,7,160,5,3.1,5,0,2.5
2026-09-23,siena,15,502,5,1.0,5,0,2.5
2026-09-23,syracuse,15,490,6,1.2,6,0,3.0
2026-09-23,taranto,5,130,20,15.4,20,0,10.0
2026-09-23,terni,1,300,0,0.0,0,0,0.0
2026-09-23,trani,1,50,0,0.0,0,0,0.0
2026-09-23,trapani,11,815,6,0.7,6,0,3.0
2026-09-23,trento,9,295,4,1.4,4,0,2.0
2026-09-23,treviso,5,240,5,2.1,5,0,2.5
2026-09-23,trieste,6,190,5,2.6,5,0,2.5
2026-09-23,turin,50,2155,98,4.5,98,0,49.0
2026-09-23,udine,1,20,0,0.0,0,0,0.0
2026-09-23,varese,1,20,2,10.0,2,0,1.0
2026-09-23,venice,37,2545,384,15.1,384,0,192.0
2026-09-23,vercelli,1,20,0,0.0,0,0,0.0
2026-09-23,verona,16,915,82,9.0,82,0,41.0
2026-09-23,vicenza,3,105,0,0.0,0,0,0.0
2026-09-23,viterbo,1,30,30,100.0,30,0,15.0
