day,weekday,city,area,storage_id,name,capacity,hours_read,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,weekday,agrigento,agrigento-train-staion,6452753,Luggage Storage Agrigento Railway Station,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,agrigento-train-staion,6452753,Luggage Storage Agrigento Railway Station,20,1,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,agrigento-train-staion,6452753,Luggage Storage Agrigento Railway Station,20,2,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,agrigento-train-staion,6452753,Luggage Storage Agrigento Railway Station,20,3,0,0.0,0,0,0.0
2026-09-23,weekday,agrigento,agrigento-train-staion,6472980,Luggage Storage Agrigento Station 24/7,50,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,agrigento-train-staion,6472980,Luggage Storage Agrigento Station 24/7,50,2,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,agrigento-train-staion,6472980,Luggage Storage Agrigento Station 24/7,50,6,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,agrigento-train-staion,6472980,Luggage Storage Agrigento Station 24/7,50,4,0,0.0,0,0,0.0
2026-09-23,weekday,agrigento,agrigento-train-staion,783,Luggage Storage Agrigento Train Station,30,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,agrigento-train-staion,783,Luggage Storage Agrigento Train Station,30,3,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,agrigento-train-staion,783,Luggage Storage Agrigento Train Station,30,4,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,agrigento-train-staion,783,Luggage Storage Agrigento Train Station,30,6,0,0.0,0,0,0.0
2026-09-23,weekday,agrigento,city-center,6452613,Luggage Storage Scalinata Degli Artisti,50,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,city-center,6452613,Luggage Storage Scalinata Degli Artisti,50,1,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,city-center,6452613,Luggage Storage Scalinata Degli Artisti,50,4,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,city-center,6452613,Luggage Storage Scalinata Degli Artisti,50,4,0,0.0,0,0,0.0
2026-09-23,weekday,agrigento,city-center,7126,Luggage Storage Agrigento Bus Station,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,city-center,7126,Luggage Storage Agrigento Bus Station,20,1,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,city-center,7126,Luggage Storage Agrigento Bus Station,20,4,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,city-center,7126,Luggage Storage Agrigento Bus Station,20,4,0,0.0,0,0,0.0
2026-09-23,weekday,agrigento,city-center,7148,Luggage Storage Agrigento Old Town,50,1,0,0.0,0,0,0.0
2026-09-24,weekday,agrigento,city-center,7148,Luggage Storage Agrigento Old Town,50,3,0,0.0,0,0,0.0
2026-09-25,weekday,agrigento,city-center,7148,Luggage Storage Agrigento Old Town,50,6,0,0.0,0,0,0.0
2026-09-26,weekend,agrigento,city-center,7148,Luggage Storage Agrigento Old Town,50,9,0,0.0,0,0,0.0
2026-09-23,weekday,alessandria,tortona,6451902,Luggage Storage Via S. Marziano,15,2,0,0.0,0,0,0.0
2026-09-25,weekday,alessandria,tortona,6451902,Luggage Storage Via S. Marziano,15,8,0,0.0,0,0,0.0
2026-09-26,weekend,alessandria,tortona,6451902,Luggage Storage Via S. Marziano,15,10,0,0.0,0,0,0.0
2026-09-23,weekday,ancona,ancona-train-station,3893,Luggage Storage Ancona Railway Station,100,2,0,0.0,0,0,0.0
2026-09-24,weekday,ancona,ancona-train-station,3893,Luggage Storage Ancona Railway Station,100,2,0,0.0,0,0,0.0
2026-09-25,weekday,ancona,ancona-train-station,3893,Luggage Storage Ancona Railway Station,100,5,0,0.0,0,0,0.0
2026-09-26,weekend,ancona,ancona-train-station,3893,Luggage Storage Ancona Railway Station,100,4,0,0.0,0,0,0.0
2026-09-23,weekday,ancona,ancona-train-station,458,Luggage Storage Ancona Train Station,100,2,2,2.0,2,0,1.0
2026-09-24,weekday,ancona,ancona-train-station,458,Luggage Storage Ancona Train Station,100,8,0,0.0,0,0,0.0
2026-09-25,weekday,ancona,ancona-train-station,458,Luggage Storage Ancona Train Station,100,12,0,0.0,0,0,0.0
2026-09-26,weekend,ancona,ancona-train-station,458,Luggage Storage Ancona Train Station,100,17,4,4.0,0,4,2.0
2026-09-23,weekday,ancona,ancona-train-station,5983,Luggage Storage Cristo Divino Church,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,ancona,ancona-train-station,5983,Luggage Storage Cristo Divino Church,15,1,0,0.0,0,0,0.0
2026-09-25,weekday,ancona,ancona-train-station,5983,Luggage Storage Cristo Divino Church,15,3,0,0.0,0,0,0.0
2026-09-26,weekend,ancona,ancona-train-station,5983,Luggage Storage Cristo Divino Church,15,4,0,0.0,0,0,0.0
2026-09-23,weekday,ancona,ancona-train-station,5993,Luggage Storage Ugo Bassi Square,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,ancona,ancona-train-station,5993,Luggage Storage Ugo Bassi Square,15,2,0,0.0,0,0,0.0
2026-09-25,weekday,ancona,ancona-train-station,5993,Luggage Storage Ugo Bassi Square,15,6,0,0.0,0,0,0.0
2026-09-26,weekend,ancona,ancona-train-station,5993,Luggage Storage Ugo Bassi Square,15,9,0,0.0,0,0,0.0
