seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,termini,1109,Luggage Storage Termini,41.9016897,12.5038461,300,False,True,4287,4.74,5.0
2026-09-23,rome,termini,6453333,Luggage Storage Termini / Piazza Dei Cinquecento,41.90026471068203,12.500172257423403,100,False,False,434,4.66,5.0
2026-09-23,rome,tiburtina,4763,Luggage Storage Tiburtina Terminal,41.9105495,12.5290035,65,False,False,416,4.7,5.0
2026-09-23,rome,pantheon,255,Luggage Storage Rome Pantheon,41.8979358,12.4750959,9999,False,False,445,4.94,5.0
2026-09-23,rome,colosseum,3690,Luggage Storage Colosseum Station,41.889243,12.493952,50,False,False,246,4.69,5.0
2026-09-23,rome,termini,739,Luggage Storage Marsala - Termini,41.9018069,12.5032898,200,False,False,1473,4.82,5.0
2026-09-23,rome,trastevere,913,Luggage Storage Viale Trastevere,41.878511,12.4665107,80,False,True,316,4.72,5.0
2026-09-23,rome,roma-vatican-museums,6459809,Luggage Storage near Vatican Museums,41.9074799,12.4543408,50,False,False,182,4.92,5.0
2026-09-23,rome,roman-forum,34,Luggage Storage Fori Imperiali,41.8936151,12.4890927,9999,False,False,294,4.89,5.0
2026-09-23,rome,tiburtina,4599,Luggage Storage Tiburtina Train Station,41.9100447,12.5282102,80,False,False,318,4.8,5.0
2026-09-23,rome,ostiense,44,Luggage Storage Ostiense,41.8710601,12.4802582,9999,False,False,122,4.79,5.0
2026-09-23,rome,navona,21,Luggage Storage Navona,41.8966295,12.4747104,100,False,False,285,4.86,5.0
2026-09-23,rome,termini,1352,Luggage Storage Termini Station,41.9018514,12.5041755,60,False,False,244,4.74,5.0
2026-09-23,rome,vatican,6215,Luggage Storage Viale Vaticano,41.90659,12.450183,50,False,False,13,4.85,5.0
2026-09-23,rome,vatican,4869,Luggage Storage Vatican City,41.8998828,12.4519596,45,False,False,119,4.81,5.0
2026-09-23,rome,trevi,4738,Luggage Storage Trevi Fountain,41.9013215,12.4804808,50,False,False,143,4.82,5.0
2026-09-23,rome,pantheon,57,Luggage Storage Pantheon - Rome Center,41.9021912,12.4758043,9999,False,False,141,4.88,5.0
2026-09-23,rome,san-giovanni,19,Luggage Storage S. Giovanni In Laterano,41.886773,12.5087694,9999,False,False,101,4.82,5.0
2026-09-23,rome,trevi,6450924,Luggage Storage Piazza Barberini,41.9039227,12.4871546,100,False,False,257,4.77,5.0
2026-09-23,rome,trastevere,5598,Luggage Storage Trastevere San Cosimato,41.8874741,12.4701666,50,False,False,230,4.8,5.0
2026-09-23,rome,termini,5684,Luggage Storage Termini Rome,41.9016822,12.5036261,50,False,False,211,4.78,5.0
2026-09-23,rome,porta-s-paolo,5011,Luggage Storage Piramide Metro Station,41.8747556,12.4808876,60,False,False,164,4.84,5.0
2026-09-23,rome,pantheon,4900,Luggage Storage Teatro Argentina,41.8994481,12.475554,200,False,False,68,4.87,5.0
2026-09-23,rome,termini,4695,Luggage Storage Giolitti / Termini Station,41.8999731,12.5012718,250,False,False,1115,4.75,5.0
2026-09-23,rome,pantheon,5067,Luggage Storage Campo De Fiori,41.8942516,12.4740395,40,False,False,61,4.71,5.0
2026-09-23,rome,trevi,6269,Luggage Storage Quirinal Palace,41.902347,12.485574,35,False,False,51,4.82,5.0
2026-09-23,rome,via-del-corso,5660,Luggage Storage Via Del Corso,41.90701600000001,12.4780093,25,False,False,33,4.94,5.0
2026-09-23,rome,spanish-steps,5582,Luggage Storage Villa Borghese,41.9087158,12.4882572,50,False,False,67,4.88,5.0
