shop_id,city,name,address,lat,lng,url
1,rome,Vatican Museums,"Via Germanico 20, 00192 Roma",41.9073597,12.456266899999946,https://www.stowyourbags.com/en/shop/rome/luggage-storage-vatican-st-peter/
3,milan,Milano Centrale Train Station,"Via G. Battista Pergolesi, 22 20124 Milano",45.4858701,9.209189700000024,https://www.stowyourbags.com/en/shop/milan/luggage-storage-milan-central-station/
4,rome,Spanish Steps District,"Via della Vite 42, 00187 Roma",41.9037594,12.481190800000036,https://www.stowyourbags.com/en/shop/rome/luggage-storage-spanish-steps/
5,florence,Uffizi District,"Via dell'Anguillara 58, 50122 Firenze",43.7698913,11.258183499999973,https://www.stowyourbags.com/en/shop/florence/luggage-storage-florence-piazza-signoria-duomo/
2,rome,City Center | Termini Station,"Via Filippo Turati 52, 00185 Roma",41.8986364,12.50191510000002,https://www.stowyourbags.com/en/shop/rome/luggage-storage-termini-train-station-rome/
6,florence,City Center |  Florence Station,"Via dell'Albero 22, 50123 Firenze",43.7749487,11.246065799999997,https://www.stowyourbags.com/en/shop/florence/luggage-storage-florence-train-station/
7,naples,Naples Centrale Train Station,"Via Venezia 64, 80142 Napoli",40.8551683,14.270551100000034,https://www.stowyourbags.com/en/shop/naples/luggage-storage-naples-central-station/
8,venice,City Center | Rialto District,"Calle de l'Orso 5512 A, 30124 Venezia",45.437976,12.337400099999968,https://www.stowyourbags.com/en/shop/venice/rialto-bridge-san-marco/
9,venice,Santa Lucia Train Station,"Calle dello Spezier 193, 30100 Venezia",45.4424789,12.32434950000004,https://www.stowyourbags.com/en/shop/venice/luggage-storage-santa-lucia-train-station-venice/
10,catania,Via Etnea | Bellini Theater,"Via Antonino Mancini 22, 95131 Catania",37.5045378,15.087672300000008,https://www.stowyourbags.com/en/shop/catania/luggage-storage-catania-city-center/
13,pisa,City Center | Pisa Station,"Via Cristoforo Colombo 6, 56125 Pisa",43.709743,10.400825,https://www.stowyourbags.com/en/shop/pisa/luggage-storage-pisa-centrale-station/
14,verona,Verona Arena,"Via Dietro Listone, 19 C, 37121 Verona",45.4392923,10.991848,https://www.stowyourbags.com/en/shop/verona/luggage-storage-arena-of-verona/
17,turin,Turin Porta Nuova Train Station,"Via Alessandro Volta 1G, 10121 Torino",45.063847,7.677491,https://www.stowyourbags.com/en/shop/turin/luggage-storage-porta-nuova-station/
18,bari,Bari Centrale Train Station,"Piazza Aldo Moro 29, 70121 Bari",41.118786,16.871065,https://www.stowyourbags.com/en/shop/bari/luggage-storage-bari-central-station/
21,rome,Colosseum,"Via del Colosseo 2, 00184 Roma",41.893041,12.488991,https://www.stowyourbags.com/en/shop/rome/colosseum-roman-forum/
22,rome,Trastevere,"Via della Cisterna 15B, 00153 Roma",41.8887010000002,12.47099435853575,https://www.stowyourbags.com/en/shop/rome/trastevere-basilica-of-our-lady/
24,florence,Florence SMN Train Station,"Via Fiume 5R, 50123 Firenze",43.776742,11.250287,https://www.stowyourbags.com/en/shop/florence/luggage-storage-florence-city-center-train-station/
25,genoa,Genoa Piazza Principe Train Station,"Via Balbi 95, 16126 Genova",44.416389,8.9235753,https://www.stowyourbags.com/en/shop/genoa/luggage-storage-piazza-principe-station/
26,palermo,City Center | Massimo Theater,"Via Orologio 25, 90133 Palermo",38.120327,13.359364,https://www.stowyourbags.com/en/shop/palermo/luggage-storage-city-center/
31,rome,Termini Train Station,"Via Milazzo 20 A, 00185 Roma",41.902158,12.504518,https://www.stowyourbags.com/en/shop/rome/luggage-storage-termini-train-station-via-marsala/
32,bologna,Bologna Centrale Train Station,"Viale Pietro Pietramellara, 27 C,  40121 Bologna",44.505488,11.3398833,https://www.stowyourbags.com/en/shop/bologna/luggage-storage-bologna-centrale-station/
36,milan,Cadorna Train Station,"Piazzale Luigi Cadorna 10, 20123 Milano",45.46866520562012,9.176107591724891,https://www.stowyourbags.com/en/shop/milan/luggage-storage-cadorna-station/
38,siena,Piazza del Campo,"Via di Calzoleria 13, 53100 Siena",43.319704,11.331724,https://www.stowyourbags.com/en/shop/siena/luggage-storage-piazza-del-campo/
40,brescia,Brescia Train Station,"Viale della Stazione 72, 25124 Brescia",45.5330686,10.2131944,https://www.stowyourbags.com/en/shop/brescia/luggage-storage-train-station/
39,pisa,Pisa Centrale Train Station,"Via Amerigo Vespucci 91, 56125 Pisa",43.708755,10.401779,https://www.stowyourbags.com/en/shop/pisa/pisa-city-center/
37,rome,St. Peter's Basilica,"Corso Vittorio Emanuele II 310, 00186 Roma",41.899606,12.466173,https://www.stowyourbags.com/en/shop/rome/st-peter-castel-sant-angelo/
47,milan,Duomo District,"Via Valpetrosa 5,  20123 Milano",45.462142,9.185314,https://www.stowyourbags.com/en/shop/milan/milan-cathedral/
48,bologna,Sant'Orsola Hospital,"Via Pietro Albertoni, 15, 40138 Bologna BO",44.490235,11.363857,https://www.stowyourbags.com/en/shop/bologna/santorsola-hospital/
51,venice,Rialto Bridge,"Cannaregio 5886 a, 30121 Venezia",45.4391,12.337428,https://www.stowyourbags.com/en/shop/venice/san-marco-rialto-bridge/
