stato,tipo,provincia,comune,titolo,prezzo,mq,portale,link,pubblicato,primo_visto,ultimo_visto,id,possibile_doppione
attivo,da verificare,PD,Villa Estense,"Attività commerciale via Roma, Centro, Villa Estense",70000,100,immobiliare.it,https://www.immobiliare.it/annunci/122121718/,,2026-09-22,2026-09-22,immobiliare-122121718,
attivo,da verificare,PD,Galliera Veneta,"Attività commerciale, Centro, Galliera Veneta",38000,55,immobiliare.it,https://www.immobiliare.it/annunci/126861673/,,2026-09-22,2026-09-22,immobiliare-126861673,
attivo,da verificare,PD,Padova,"Attività commerciale via Cesare Crescente, Guizza, Padova",58000,80,immobiliare.it,https://www.immobiliare.it/annunci/119786464/,,2026-09-22,2026-09-22,immobiliare-119786464,
attivo,da verificare,TV,Ponte di Piave,"Attività commerciale piazza Marco Polo 5, Centro, Ponte di Piave",40000,100,immobiliare.it,https://www.immobiliare.it/annunci/126373237/,,2026-09-22,2026-09-22,immobiliare-126373237,
attivo,da verificare,TV,Treviso,"Attività commerciale Porta San Tomaso, Piazza del Grano - Burchiellati, Treviso",65000,75,immobiliare.it,https://www.immobiliare.it/annunci/128666620/,,2026-09-22,2026-09-22,immobiliare-128666620,
attivo,self-service (dal doppione),VE,Mirano,"Attività commerciale via Castellantico, Mirano Paese, Mirano",40000,70,immobiliare.it,https://www.immobiliare.it/annunci/125441615/,,2026-09-22,2026-09-22,immobiliare-125441615,https://case.trovit.it/detail/trovit-IT-5140002766056223241
attivo,da verificare,VE,Martellago,"Attività commerciale, Centro, Martellago",100000,86,immobiliare.it,https://www.immobiliare.it/annunci/130912034/,,2026-09-22,2026-09-22,immobiliare-130912034,
attivo,self-service (dal doppione),VE,Venezia,"Attività commerciale via Monte Cervino 37, Favaro Veneto, Venezia",45000,60,immobiliare.it,https://www.immobiliare.it/annunci/131504918/,,2026-09-22,2026-09-22,immobiliare-131504918,https://case.trovit.it/detail/trovit-IT-8980005785838353245
attivo,self-service,VE,Venezia,Cedesi attivit lavanderia self service avviata – Chiavi in mano – Venezia,45000,60,Trovit (BAKECA),https://case.trovit.it/detail/trovit-IT-8980005785838353245,,2026-09-22,2026-09-22,trovit-trovit-IT-8980005785838353245,https://www.immobiliare.it/annunci/131504918/
attivo,self-service,VE,Mirano,Lavanderia in vendita a Mirano,40000,70,Trovit (COMMERCIALI - 4C SRL),https://case.trovit.it/detail/trovit-IT-5140002766056223241,,2026-09-22,2026-09-22,trovit-trovit-IT-5140002766056223241,https://www.immobiliare.it/annunci/125441615/
attivo,self-service,TV,Montebelluna,Lavanderia self service,32000,,Subito,https://www.subito.it/elettrodomestici/lavanderia-self-service-treviso-484691762.htm,2025-03-30,2026-09-22,2026-09-22,subito-484691762,
attivo,attrezzatura,TV,Treviso,Lavatrici per lavanderia ad acqua,,,Subito,https://www.subito.it/elettrodomestici/lavatrici-per-lavanderia-ad-acqua-treviso-458809300.htm,2025-10-02,2026-09-22,2026-09-22,subito-458809300,
attivo,presidiata,TV,Oderzo,Lavasecco,1000,150,Subito,https://www.subito.it/uffici-locali-commerciali/lavasecco-treviso-636084357.htm,2026-02-17,2026-09-22,2026-09-22,subito-636084357,
attivo,self-service,VE,Mirano,Lavanderia Self Automatica,,80,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-automatica-venezia-647516958.htm,2026-05-18,2026-09-22,2026-09-22,subito-647516958,
attivo,self-service,PD,Padova,Locale per lavanderia automatica [affitto],,30,Subito,https://www.subito.it/uffici-locali-commerciali/locale-per-lavanderia-automatica-padova-646400479.htm,2026-06-08,2026-09-22,2026-09-22,subito-646400479,
attivo,presidiata,PD,Padova,Lavanderia e pulitura,50000,45,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-e-pulitura-padova-650328186.htm,2026-06-10,2026-09-22,2026-09-22,subito-650328186,
attivo,self-service,VE,Venezia,Attività lavanderia self-service avviata Venezia,45000,60,Subito,https://www.subito.it/uffici-locali-commerciali/attivita-lavanderia-self-service-avviata-venezia-venezia-653696706.htm,2026-07-10,2026-09-22,2026-09-22,subito-653696706,https://case.trovit.it/detail/trovit-IT-8980005785838353245
attivo,attrezzatura,PD,Padova,Cassa centralizzata per lavanderie self service,,,Subito,https://www.subito.it/attrezzature/cassa-centralizzata-per-lavanderie-self-service-padova-653839435.htm,2026-07-26,2026-09-22,2026-09-22,subito-653839435,
attivo,self-service,TV,Trevignano,Lavanderia self service,,108,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-service-treviso-655536972.htm,2026-07-27,2026-09-22,2026-09-22,subito-655536972,
attivo,self-service,TV,Ponte di Piave,Lavanderia [affitto],1300,100,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-treviso-657402775.htm,2026-08-17,2026-09-22,2026-09-22,subito-657402775,
attivo,self-service,TV,Ponte di Piave,Lavanderia self service,35000,100,Subito,https://www.subito.it/uffici-locali-commerciali/lavanderia-self-service-treviso-657402580.htm,2026-08-19,2026-09-22,2026-09-22,subito-657402580,
attivo,attrezzatura,PD,Padova,Lavanderia self service,31000,,Subito,https://www.subito.it/attrezzature/lavanderia-self-service-padova-657455374.htm,2026-08-23,2026-09-22,2026-09-22,subito-657455374,
attivo,attrezzatura,PD,Vigonza,Casse centralizzate per lavanderie self Service,6500,,Subito,https://www.subito.it/attrezzature/casse-centralizzate-per-lavanderie-self-service-padova-659281686.htm,2026-09-02,2026-09-22,2026-09-22,subito-659281686,
