rilevato_il,giorno,giorno_sett,tipo_giorno,circolo,slug,campo,copertura,inizio,fascia,stato,prezzo_90,prezzo_60
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,scoperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,scoperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Giallo,scoperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,scoperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,scoperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,Campo Rosso,scoperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,coperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,coperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 1,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,coperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,coperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Sporting Club Mestre,sporting-club-mestre,campo coperto 2,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 1,scoperto,20:30,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 1,scoperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 1,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 1,scoperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 2,scoperto,20:30,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 2,scoperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 2,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Aquafit Padel,aquafit-padel,Padel 2,scoperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 1,coperto,20:30,sera,libero,,40 EUR
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 1,coperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 1,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 1,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 2,coperto,20:30,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 2,coperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 2,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 2,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 3,coperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 3,coperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 3,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 3,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,coperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,coperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 4 | B3 Capital,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,coperto,20:30,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,coperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,coperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,SPH - Venezia,sph-venezia,Campo 5 | Bassetto Impianti,coperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,1 Esterno,scoperto,20:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,1 Esterno,scoperto,21:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,1 Esterno,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,1 Esterno,scoperto,22:00,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,2 Esterno,scoperto,20:30,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,2 Esterno,scoperto,21:00,sera,libero,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,2 Esterno,scoperto,21:30,sera,occupato,,
2026-09-17 20:09,2026-09-17,Thu,feriale,Padel Treviso,padel-treviso,2 Esterno,scoperto,22:00,sera,occupato,,
