aggiornato_il,circolo,copertura,tipo_giorno,fascia,giorni_rilevati,mezzore_rilevate,mezzore_occupate,quota_occupata
2026-09-22 15:58,Altino Sport Village,coperto,feriale,mattina,2,18,0,0.0
2026-09-22 15:58,Altino Sport Village,coperto,feriale,pomeriggio,3,18,6,0.333
2026-09-22 15:58,Altino Sport Village,coperto,feriale,pranzo,3,22,2,0.091
2026-09-22 15:58,Altino Sport Village,coperto,feriale,sera,3,34,24,0.706
2026-09-22 15:58,Altino Sport Village,coperto,festivo,mattina,1,4,0,0.0
2026-09-22 15:58,Altino Sport Village,coperto,festivo,pomeriggio,1,14,2,0.143
2026-09-22 15:58,Altino Sport Village,coperto,festivo,pranzo,1,4,4,1.0
2026-09-22 15:58,Altino Sport Village,coperto,festivo,sera,1,10,10,1.0
2026-09-22 15:58,Aquafit Padel,scoperto,feriale,mattina,2,18,0,0.0
2026-09-22 15:58,Aquafit Padel,scoperto,feriale,pomeriggio,3,34,4,0.118
2026-09-22 15:58,Aquafit Padel,scoperto,feriale,pranzo,3,22,0,0.0
2026-09-22 15:58,Aquafit Padel,scoperto,feriale,sera,3,36,22,0.611
2026-09-22 15:58,Aquafit Padel,scoperto,festivo,mattina,1,4,4,1.0
2026-09-22 15:58,Aquafit Padel,scoperto,festivo,pomeriggio,1,16,16,1.0
2026-09-22 15:58,Aquafit Padel,scoperto,festivo,pranzo,2,10,10,1.0
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,feriale,mattina,2,33,0,0.0
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,feriale,pomeriggio,3,27,13,0.481
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,feriale,pranzo,3,33,0,0.0
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,feriale,sera,3,45,45,1.0
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,festivo,mattina,1,6,0,0.0
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,festivo,pomeriggio,1,21,15,0.714
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,festivo,pranzo,1,6,1,0.167
2026-09-22 15:58,Barchessa Padel e Pikleball,coperto,festivo,sera,1,6,6,1.0
